case_number,source,prompt,evaluation_seed,coco_id
10064,coco-30k,Woman interacting with giraffe at fence in zoo.,71892,173908
10065,coco-30k,A double decker bus is shown that is not in service.,46160,95843
10066,coco-30k,Traffic signals and sign on pole at roadway intersection.,23144,64425
10067,coco-30k,Someone is holding a bird up to a book. ,65501,176180
10068,coco-30k,Adult lying obscurely on park bench in wide open area.,26267,51181
10069,coco-30k,A giraffe running across a desert plain at a high speed.,63827,441445
10070,coco-30k,The baby lamb is standing on green grass.,586,399957
10071,coco-30k,a gray bird about to perch on a branch,97035,411188
10072,coco-30k,A bus is driving on a wet road with many green trees on the roadside.,93459,415536
10073,coco-30k,a woman is out in a field with sheep ,97835,108953
10074,coco-30k,A bench next to a tree in a park. ,64839,491508
10075,coco-30k,"Two street signs read ""Dead End"" and ""College"".",33943,357948
10076,coco-30k,A pole with three road signs stands in front of a building.,11196,500826
10077,coco-30k,An locomotive blowing out a cloud of steam.,34766,13127
10078,coco-30k,a large giraffe is outside eating from a tree,49731,571925
10079,coco-30k,A train stopped at the station to pick up passengers.,71371,472484
10080,coco-30k,Many potted plants sit on the side of a road with a no parking sign.,18579,288336
10081,coco-30k,A lone giraffe standing in the tall bushes.,98352,274678
10082,coco-30k,A giraffe standing outside of two white doors.,60654,91300
10083,coco-30k,Some street signs near a big bridge overpass.,51635,260307
10084,coco-30k,A sign post at a corner in front of a building.,38894,495053
10085,coco-30k,An aerial view of a train on train tracks.,1847,131295
10086,coco-30k,Sign on the side of the road welcoming people to Arizona and another sign warning of road work ahead.,59047,269922
10087,coco-30k,"Signs, cones and lights on a street ahead of construction equipment on a street.",36111,176278
10088,coco-30k,A person with a safety vest in front of a bus.,34010,320901
10089,coco-30k,A bus on a divided street near a stop light.,18467,367205
10090,coco-30k,A man hanging his face out of a train window.,72369,498392
10091,coco-30k,a street pole with some signs sitting on them,71820,577949
10092,coco-30k,a street sign on a road near a building,63584,107244
10093,coco-30k,a black and white photo of a train ,93870,151857
10094,coco-30k,three children sitting on a bench near one another,57496,440045
10095,coco-30k,A one way sign that is on a pole.,81647,322824
10096,coco-30k,a train on a train track at a train station ,20398,80104
10097,coco-30k,a wooden post holds up a sign off of a road ,19280,79331
10098,coco-30k,A close up view of a giraffe's face.,17935,231828
10099,coco-30k,A park bench on a beach of white sand looking out to the ocean.,58034,111988
10100,coco-30k,A sign is shown at the edge of a street.,41719,122589
10101,coco-30k,A airplane that is flying in the sky.,20279,401003
10102,coco-30k,Two giraffes that are standing in the grass.,37213,208671
10103,coco-30k,A row of buses sitting next to each other in front of a tall building.,65058,388395
10104,coco-30k,High speed train stopped at the train station.,25925,409009
10105,coco-30k,a giraffe eating food from a food dispenser ,63910,186637
10106,coco-30k,A sheep stands out in an open field of grass.,5142,311075
10107,coco-30k,A bird is standing on the small branch outside. ,84640,98674
10108,coco-30k,A couple of trains are traveling side by side. ,57811,225225
10109,coco-30k,A giraffe is sitting down in the wild. ,77924,83958
10110,coco-30k,Double decker buses driving down the main road.,41738,346716
10111,coco-30k,A woman walks across the street as a car waits at the traffic signal.,16195,489482
10112,coco-30k,A few school buses are parked near other vehicles. ,36294,9286
10113,coco-30k,A pair of sneakers hang in the background at this street corner.,42211,69911
10114,coco-30k,A green and white bus on street next to dirt area.,29604,226154
10115,coco-30k,Two people using cleaning brushes on an outdoor monument.  ,50406,528786
10116,coco-30k,Multiple city buses parked in a storage area. ,39633,448964
10117,coco-30k,A cat with a tiny hat on top of its head.,17738,285968
10118,coco-30k,A coupe of road signs near a downtown area or highway. ,42972,66711
10119,coco-30k,A clock is shown on a wood panel.,21664,400975
10120,coco-30k,A bus getting ready to get off a bridge on the highway.,79468,87912
10121,coco-30k,A woman in white shirt climbing onto an elephant.,8564,18896
10122,coco-30k,The inside of a building is shown with benches.,17211,420882
10123,coco-30k,A man sitting at a bus stop on a green bench,48188,239492
10124,coco-30k,An old black and white picture of a bus and homes in the background. ,78745,577866
10125,coco-30k,Two cats are laying down together sleeping. ,7274,90349
10126,coco-30k,"An old, rusty fire hydrant, in front of the pole. ",3648,218751
10127,coco-30k,A fire is going near four lounge chairs. ,70483,333412
10128,coco-30k,White sheep standing in front of a colorful wall in a building. ,54830,321887
10129,coco-30k,A distant shot with people approaching the bus. ,92846,54025
10130,coco-30k,A dead bird being dangled in front of a cat,97997,321861
10131,coco-30k,a large body of water with trees in the background,49548,458240
10132,coco-30k,A giraffe that is standing in the grass.,99313,64746
10133,coco-30k,a public transit bus on a city street ,69052,147725
10134,coco-30k,Woman out running errands on her bicycle in the street.,3048,249720
10135,coco-30k,Different kinds of street signs hanging from a pole in the city. ,74946,231460
10136,coco-30k,two giraffes standing next to each other with a fence between them,74058,107481
10137,coco-30k,a cute baby giraffe standing next to a bigger giraffe ,24372,416240
10138,coco-30k,a group of people standing around while looking a bunch of little birds ,84723,424793
10139,coco-30k,Three adult giraffe stand at a grove of trees.,45377,458572
10140,coco-30k,A monitor showing a film on an airplane.,43927,409914
10141,coco-30k,A stop sign and fire hydrant on the side of the road.,44729,416125
10142,coco-30k,A double decker bus with a man posing by the door.,10972,90804
10143,coco-30k,A turkey that is cooking in a large roaster oven on the counter. ,54849,69536
10144,coco-30k,A boy stands out the edge of a moving train. ,41913,543676
10145,coco-30k,A train speeds by a field in a black and white photo.,37939,210442
10146,coco-30k,A train driving along the train tracks in the day.,56600,272131
10147,coco-30k,a red white and green fire hydrant and a fence,86752,22113
10148,coco-30k,That looks like a wall mural in the background of this photo with a lot of sheet.,11804,173574
10149,coco-30k,That small plane looks like it is ready for takeoff.,6885,12471
10150,coco-30k,some children are riding on a mini orange train,12613,1353
10151,coco-30k,three giraffes some brown and green grass some bushes and trees,75234,325874
10152,coco-30k,People are sitting on the sidewalk and relaxing by the river.,1964,302318
10153,coco-30k,There is a stop sign outside of a bus window.,18802,196754
10154,coco-30k,Men on a safari with an elephant and photo equipment.,55915,441156
10155,coco-30k,A group of giraffes eating a plant from a hanging basket.,84680,363319
10156,coco-30k,A picture of a red bus waiting for passengers.,3112,391187
10157,coco-30k,The bluebird is just sitting quietly on the branch.,66745,396252
10158,coco-30k,A toy horse is sitting on a sidewalk next a fire hydrant.,19684,514248
10159,coco-30k,A blue street sign with a cartoon cop warning about drinking and driving.,43605,18058
10160,coco-30k,Three sheep are grazing in the field next to the water.,75370,340272
10161,coco-30k,An airplane is landing on the runway at the airport.,68890,309530
10162,coco-30k,A black and tan cat standing in the dirty grass. ,24753,554958
10163,coco-30k,A group of sheep standing next to each other on a field.,50838,198960
10164,coco-30k,"stop sign that says no vehicles past posts in front of building
",16372,374669
10165,coco-30k,A fire hose sitting on top of a man hole cover near a yellow post.,26063,387244
10166,coco-30k,A large passenger jet with it's landing gear down.,52599,156445
10167,coco-30k,A train on a track traveling through a countryside. ,93745,427646
10168,coco-30k,A black and white picture of a bird flying over a ocean,51929,191425
10169,coco-30k,A city street sign near some very big palm trees.,91882,468935
10170,coco-30k,Some smiling happy skiers riding on a lift.,6204,434618
10171,coco-30k,Commercial airliner over runway at airport on smoggy day.,27365,503292
10172,coco-30k,One train riding on the multiple train tracks side by side. ,3247,252968
10173,coco-30k,A guy in funny hat holding a very big bird.,48889,62549
10174,coco-30k,a number of street signs with a business sign in the background,73897,553420
10175,coco-30k,An umbrella lies behind a park bench that a small television is on.,39108,493435
10176,coco-30k,there are three she eps standing together on the grass,99000,772
10177,coco-30k,there is a animal walking down a narrow road,81560,37457
10178,coco-30k,A yellow cat is wearing a blue plastic baseball hat.,29844,475732
10179,coco-30k,A bus about to stop to pick up passengers.,58027,550349
10180,coco-30k,a few big buildings with roads next to them,74120,23019
10181,coco-30k,some old dirty pipes laying on the ground,83035,463615
10182,coco-30k,a blue and white passenger train coming to a stop,87357,150893
10183,coco-30k,a red double decker bus is seen coming up the street,52617,315976
10184,coco-30k,"Corner of Broadway, West 32nd Street, and Korea Way.",95718,310622
10185,coco-30k,The orange fire hydrant is on a sidewalk in front of a brick building.,55768,268641
10186,coco-30k,A building with a sign that reads One India Buildings.,83292,92604
10187,coco-30k,Washed out stop sign with a 4-way sign underneath.,98409,568425
10188,coco-30k,Single train parked at a train station on a clear day.,44651,206994
10189,coco-30k,silohette of a man against  the whiteness of the sky surrounding him,32071,389532
10190,coco-30k,A close shot of two separate trains. ,49080,304316
10191,coco-30k,Several books are stacked on a table. ,86634,82258
10192,coco-30k,A row of birds are flying against a blue sky.,69544,536110
10193,coco-30k,"lots of sheep grazing on a hillside, with people in background",94588,206933
10194,coco-30k,A dark street with a bicycle near a tree on the side of a building. ,65156,143560
10195,coco-30k,A swan in the water near a boat tied to a dock.,93939,475904
10196,coco-30k,A Stop sign is at the corner of a grassy area.,89630,293782
10197,coco-30k,a stack of traffic signs on a pole next to a street.,17835,11615
10198,coco-30k,A street sign showing a person walking with a child and a bike sits on the sit of the road. ,14504,114855
10199,coco-30k,A cat is wearing a pink wool hat.,68301,238602
10200,coco-30k,A passenger bus pulling up to the side of a street.,37851,5037
10201,coco-30k,Several birds with black and yellow feathers sitting on some branches.,83916,284594
10202,coco-30k,A large bus and a truck on a street.,74122,442667
10203,coco-30k,A sign for a dancing club is hanging from a building.,51593,156606
10204,coco-30k,A train passing by an empty platform. ,23423,27874
10205,coco-30k,View of a snow capped mountain above trees and a bench.,88028,189245
10206,coco-30k,A stop sign is hanging from a metal post.,32959,386633
10207,coco-30k,A guy is near a busy street in a foreign country.,31157,158118
10208,coco-30k,a man is standing in the woods wearing a hat and glasses,37647,262175
10209,coco-30k,A lot of birds on logs floating in the water.,98080,446637
10210,coco-30k,the people are using the kiosk on the TAB van,78894,576449
10211,coco-30k,A high speed train is seen in the station.,25971,159684
10212,coco-30k,A man is straightening his tie in front of a mirror.,85116,208044
10213,coco-30k,Train traveling through countryside near tall brick structure.,23235,124621
10214,coco-30k,Large clock tower overlooking a busy street during the day.,4473,579859
10215,coco-30k,Garden with a assortment of plants surrounding a bench with a sleeping cat,62161,258773
10216,coco-30k,Several buses and cars driving down a busy street.,49564,18366
10217,coco-30k,A large long train on a steel track.,74035,450695
10218,coco-30k,A man that is standing in the street near a bus.,94765,417115
10219,coco-30k,Four smaller dogs are running away from the women on the bench. ,36755,372819
10220,coco-30k,A man with his shirt off sitting by the shoreline sunning himself. ,86689,49259
10221,coco-30k,A man smiling while sitting at a table drinking beer. ,66541,345139
10222,coco-30k,A couple of birds standing in the water.,60451,140636
10223,coco-30k,A wooden bench has a company advertise on it. ,66118,189782
10224,coco-30k,Several Zebra are together through the fence. ,90790,526132
10225,coco-30k,there is a bird that is sitting at the top of a branch,46957,482477
10226,coco-30k,A large brick building is sitting behind a tree. ,271,16689
10227,coco-30k,A young boy seems to be trying to feed a giraffe. ,80448,35429
10228,coco-30k,a large air plane on a run way,35782,338065
10229,coco-30k,A flock of sheep graze beneath trees in a green pasture filled with wildflowers.,93881,160820
10230,coco-30k,A green train traveling through a forest with trees.,10524,332153
10231,coco-30k,Some street lights are hanging at an intersection.,80630,568115
10232,coco-30k,A train engine is sitting at a train station.,94971,286021
10233,coco-30k,People at a train station boarding a train before it leaves.,69240,564934
10234,coco-30k,A bus that is sitting by a car in the street.,49030,128833
10235,coco-30k,Two buses that are sitting under a metal frame.,74545,531796
10236,coco-30k,A yellow bus that is sitting in the grass.,96312,387387
10237,coco-30k,A clock that is on the side of a tower.,95973,399177
10238,coco-30k,there are several street signs on the same wood poles,1844,436492
10239,coco-30k,Three giraffes are eating food from the feeder.,70410,126638
10240,coco-30k,A red fire hydrant with a sticker of several animals on it,63628,204871
10241,coco-30k,A Jet2 airplane parked out on the edge of the tarmac,64809,105552
10242,coco-30k,there are many rocks on the side of this road,94164,268770
10243,coco-30k,A couple of sheep standing in the tall grass.,45151,63973
10244,coco-30k,A group of birds and a man in a small boat.,89197,563056
10245,coco-30k,a train getting ready to go into a tunnel ,80019,46912
10246,coco-30k,A large green airplane in a stationary position.,34301,100974
10247,coco-30k,A chair and a table in a small room.,47185,575355
10248,coco-30k,A couple of giraffes that are standing in the dirt.,83222,476652
10249,coco-30k,A black and white image of a huge heard of sheep. ,6691,327834
10250,coco-30k,A large white bus sitting in front of a tall building.,83432,138979
10251,coco-30k,A train that is on a track next to the trees.,48901,64859
10252,coco-30k,Both benches have a caution notice on them. ,86533,214109
10253,coco-30k,there is a city bus that has stopped to pick up passengers,24324,279097
10254,coco-30k,A bird is standing in what seems to be an apple tree. ,87304,437206
10255,coco-30k,A giraffe that is standing in the grass.,4550,271148
10256,coco-30k,A large range of mountains stretch across the sky.,30360,427193
10257,coco-30k,Large giraffe sticking its neck out in an open field. ,14433,453104
10258,coco-30k,A traffic light on a street with some people.,98828,111546
10259,coco-30k,there is a small yellow and white bird sitting on a branch,36604,504921
10260,coco-30k,A small group of sheep standing together next to a building.,61148,5992
10261,coco-30k,Road signs litter the side of a road.,19598,317130
10262,coco-30k,a stop sign and two brown and white street signs ,52946,172856
10263,coco-30k,a blue bird sitting on someone's arm in a room ,6295,558169
10264,coco-30k,A sign and a pole beside a building.,64414,527501
10265,coco-30k,there is a large concrete sign small buildings behind it,50143,315128
10266,coco-30k,there are blue lights shining threw palm trees ,30597,459374
10267,coco-30k,A gold bus traveling on a single lane road,95638,119402
10268,coco-30k,a red white and black plane parked inside a building ,98025,120068
10269,coco-30k,there is two picture of a giraffe in the wild,49264,346265
10270,coco-30k,there is a very colorful bus coming up the street,50259,96689
10271,coco-30k,"Two large trains at a modernized train station, people walking about.",9259,234889
10272,coco-30k,"A dark green and yellow striped train that says ""Duke of Edinburgh"" on a train track while a lady takes a photo with her camera. ",68179,179218
10273,coco-30k,A bird walks along on a beach with other members of its kind.,40899,502715
10274,coco-30k,a fire hyrdant sitting on the sidewalk next to the road ,63409,193717
10275,coco-30k,A seagull is flying over the ocean on a cloudy day.,51917,515911
10276,coco-30k,a brown black and white bird and some plants grass and leaves,47292,528269
10277,coco-30k,there is a small bird sitting on the ledge of a building,54206,557686
10278,coco-30k,there is a sheep behind a fence standing in the snow,53155,578595
10279,coco-30k,A mother duck with her ducklings in a pond. ,84748,297017
10280,coco-30k,Child with goggles and cat and baseball with wood background,18044,324135
10281,coco-30k,A large building with a tower and clock on top.,9111,149964
10282,coco-30k,Giraffe with large trees grazing in gray sky,7185,289337
10283,coco-30k,"Buildings with large signs ""Park Here"" with rainy cement",67693,320232
10284,coco-30k,People on corner with cars on street and stoplight with building,46010,59455
10285,coco-30k,A large group of people standing in the street.,91620,100723
10286,coco-30k,A stop sign with a truck leaving a business establishment.,14660,278535
10287,coco-30k,A wooden bench on the ground next to some trees.,58795,3217
10288,coco-30k,Two giraffe snuggling each other's neck on a field.,73542,202438
10289,coco-30k,A wet rain soaked street surrounded by buildings and trees,96947,175867
10290,coco-30k,A train that is sitting on the tracks under wires.,6634,371945
10291,coco-30k,A light that is shining on a sign.,10759,88517
10292,coco-30k,A street sign that is on the side of a pole.,24991,124297
10293,coco-30k,A man in a hat leaning against a pole,54083,289594
10294,coco-30k,A train engine parked under a passage way on some tracks.,53050,196799
10295,coco-30k,A blue and yellow colored bird perches on a tree branch.,35351,108982
10296,coco-30k,A herd of sheep standing on top of a lush green field grazing.,10140,321705
10297,coco-30k,A man doing farm work on a tractor in a field.,90730,527440
10298,coco-30k,A red small engine plane in motion on a field.,85275,376996
10299,coco-30k,Two street signs on the corner of a stone wall.,94187,333697
10300,coco-30k,Ducks walking through the parking lot of a Sam's Club.,4991,530952
10301,coco-30k,"An intersection with a street sign, a person and a stop sign",90571,475882
10302,coco-30k,there is a man wearing a suit sitting on a street bench,11012,258209
10303,coco-30k,A stop sign is sitting in piles of snow.,55789,15802
10304,coco-30k,A yellow scooter bike is by a fire hydrant.,73884,269784
10305,coco-30k,Two trains passing in different directions in a train yard.,10249,124294
10306,coco-30k,Traditional view of crowded city residences with big bridge at the end of the street.,78892,11320
10307,coco-30k,there is a bench on cornet looking out at the water,55964,518030
10308,coco-30k,A group of giraffe standing next to a forest with lots of trees.,38217,224364
10309,coco-30k,A small bus driving down a street next to a sidewalk.,80079,447991
10310,coco-30k,A very cute giraffe making a funny face.,9328,17031
10311,coco-30k,A hand holding a piece of cinnamon roll,3728,53082
10312,coco-30k,A bird on a branch in a tree ,44309,574256
10313,coco-30k,A chick inside of an oven covered in herbs and seasoning.,32377,150244
10314,coco-30k,"Street signs at an intersection, silhouetted against trees and a blue sky",14839,498975
10315,coco-30k,Two people lying on beds in a hotel room ,88414,426165
10316,coco-30k,"Three with colored birds standing on a wet surface, each bird standing on one leg.",62975,190160
10317,coco-30k,a busy street with cars and trucks down it,7782,560222
10318,coco-30k,A train coming on the tracks  on a sunny day ,69315,329711
10319,coco-30k,there are many bags and luggages on the floor,58096,533532
10320,coco-30k,The train is passing by the open field.,25596,327388
10321,coco-30k,there is a old rusted train sitting on the ground,15793,99283
10322,coco-30k,A pole with multiple traffic signs near trees and bushes. ,42564,404338
10323,coco-30k,"An ""ANA"" blue and white airplane at an airport. ",72769,277146
10324,coco-30k,A man standing near an intersection with street lights. ,26670,213276
10325,coco-30k,Four giraffes are standing inside a pen with the gate open ,76690,434804
10326,coco-30k,there is a red and a yellow bus parked under a tree,77447,36990
10327,coco-30k,Birds with long legs walking in the water near a beach.,95831,134778
10328,coco-30k,a close up of a bench on a city street ,25627,549965
10329,coco-30k,A duck walking in the dry grass near a lake.,8201,474920
10330,coco-30k,a small bird on a branch in a tree,34683,231362
10331,coco-30k,A dog with a hat and a person in a truck.,9480,53529
10332,coco-30k,a small bird on the ground near bushes,82881,284292
10333,coco-30k,Water is spewing form the ground while people watch on.,61827,233491
10334,coco-30k,Two sheep running in the snow with something covering their bodies. ,80660,381786
10335,coco-30k,A woman is feeding a giraffe in a sandy plain. ,21458,517318
10336,coco-30k,A street sign is underneath a concrete overpass. ,84899,379190
10337,coco-30k,a vintage photo of a couple of people sitting on a bench,78060,149592
10338,coco-30k,A bus all lite up inside and out with diffrent colors . ,32074,354229
10339,coco-30k,A side view of a plane flying in the clear blue sky,47664,545407
10340,coco-30k,One of the blues brothers characters as a statue . ,23510,513692
10341,coco-30k,A train is traveling down the rail road tracks. ,12690,303863
10342,coco-30k,A red double decker bus is driving down the street. ,85229,450607
10343,coco-30k,"A truck, largely covered in graffiti, is parked near a stop sign on a hill.",18488,469877
10344,coco-30k,a train on a train track at a station ,46728,231691
10345,coco-30k,A train is making its way down the tracks. ,73441,323751
10346,coco-30k,A man getting off a double decker bus,48506,487692
10347,coco-30k,a train on a train track near many trees ,51373,316672
10348,coco-30k,A passenger train is going across a bridge,94254,111096
10349,coco-30k,Several different fire hydrants that have been painted various colors.,98867,338191
10350,coco-30k,The train is for decoration out in the front of the building. ,51008,322831
10351,coco-30k,a cat is sitting on a wooden bench outside,14212,92795
10352,coco-30k,A man that is standing in the dirt.,39508,132791
10353,coco-30k,A giraffe standing on a grass covered field.,89949,152870
10354,coco-30k,A giraffe at the zoo looks right at the camera ,15433,351903
10355,coco-30k,A train that is on the tracks next to the trees.,87989,454561
10356,coco-30k,A couple of giraffes that are standing in the grass.,99108,505440
10357,coco-30k,A building in the sky that has the lights on.,49315,571242
10358,coco-30k,A boy is jumping over a hurdle on his skateboard. ,67982,338948
10359,coco-30k,A boy in blue hat riding on a carousel.,42943,122582
10360,coco-30k,A wall covered in graffiti next to a sidewalk.,39821,524742
10361,coco-30k,A giraffe standing in its zoo enclosure on a sunny day,82059,289754
10362,coco-30k,This is a picture of a post with several street signs attached. ,27954,358795
10363,coco-30k,a fire hydrant in a field with trees in the background,86202,279154
10364,coco-30k,A picture of a train yard for passenger trains.,64432,556653
10365,coco-30k,A group of people that are standing around giraffes.,56992,293034
10366,coco-30k,Birds walking around on a large rock by the ocean,52795,556248
10367,coco-30k,An orange-and-black cat wearing a tiny black hat.,75771,203463
10368,coco-30k,A skyscraper reflecting the blue sky near a street lamp,6975,405213
10369,coco-30k,The view of a traffic light through a car windshield.,30993,336579
10370,coco-30k,a giraffe in a field with another in the background,66650,475667
10371,coco-30k,A full shot of a big yellow bus. ,77095,172498
10372,coco-30k,A traffic light sitting next to a tree near a sign.,61937,538828
10373,coco-30k,A traffic light hanging over a street next to cross walks.,14226,155671
10374,coco-30k,A large decorated bus has a couple of folks standing by it. ,82689,524450
10375,coco-30k,A couple of giraffes are standing in the wild. ,9953,505538
10376,coco-30k,A cement bench near a railing that overlooks a large body of calm water.,92229,82678
10377,coco-30k,A street sign prohibiting vehicles in front of a store.,17074,276707
10378,coco-30k,A couple of vehicles are side by side. ,75708,142585
10379,coco-30k,A couple of people who are standing in the street.,23389,64902
10380,coco-30k,Two signs that are on a pole in the snow.,98541,101022
10381,coco-30k,A train is traveling down the railroad tracks. ,29233,59009
10382,coco-30k,A giraffe that is standing up in the grass.,29963,76026
10383,coco-30k,A road sign is next to a red traffic light. ,60992,249404
10384,coco-30k,A traffic light by a Lutz road sign. ,46530,100087
10385,coco-30k,A bus that is sitting in the street.,55352,339344
10386,coco-30k,A taxi cab that is sitting in the street.,44099,237324
10387,coco-30k,A building that has a rainbow above it.,70406,326627
10388,coco-30k,People are walking around outside a huge church.,22581,459103
10389,coco-30k,A yellow tax sitting next to a car with lots of yellow bananas.,54673,180329
10390,coco-30k,A black cat with a hat on the ground.,59287,108244
10391,coco-30k,a picture of a bunch of train cars colored red.,89858,87503
10392,coco-30k,I stop sign that has another sign below it warning that traffic doesn't stop.,6845,562737
